PROJECT,WBS ID,DESCRIPTION,ALIAS,E,CAM,CHARGE #,RESP,PERF,YYYYMM,BCWS HRS/UTS,ACT HRS/UTS,BCWP HRS/UTS,ETC HRS/UTS,BCWS PRIME,BCWP PRIME,ACT PRIME,BCWS T DLRS,BCWP T DLRS,ACT T DLRS,ETC T DLRS,CLIN,XREF-4,E
LRIP5,GL121100-819H000D,AF19 GL11 FLT ACCEPT TST SECT 1100,,W,HJB,LGL121100,HJX,819H,201103,0.00,0.00,131.00,0.00,0.00,6999.07,0.00,0.00,19008.27,0.00,0.00,0006,,L
LRIP5,R5123425-4A1G,CLASS I CHANGES - PCR 13425 AF-15,,W,HHX,LR5123425,HHX,CLASS I CH,201101,0.00,0.00,183.28,0.00,0.00,5929.10,0.00,0.00,21368.01,0.00,0.00,0048,,L
LRIP5,R5123549-4A1G,PCR 13549 - MLG HARNESS CONNECTORS UNLOCKED,,W,HHX,,HHX,4A1G,201104,0.00,0.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,1513.91,0053,,L
LRIP5,R5123549-4A1G,PCR 13549 - MLG HARNESS CONNECTORS UNLOCKED,,W,HHX,,HHX,4A1G,201111,0.00,0.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,1398.05,0053,,L
LRIP5,R5123549-4A1G,PCR 13549 - MLG HARNESS CONNECTORS UNLOCKED,,W,HHX,,HHX,4A1G,201112,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0053,,L
LRIP5,R5123549-4A1G,PCR 13549 - MLG HARNESS CONNECTORS UNLOCKED,,W,HHX,,HHX,4A1G,201202,0.00,0.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,1477.75,0053,,L
LRIP5,R5122743-3A4A,PCR 12743 - ATC PUSH TO TALK ASIP BLANKING,,W,HEX,LR5122743,HEX,3A4A,201101,0.00,0.00,0.00,66.38,0.00,0.00,0.00,0.00,0.00,0.00,8605.98,0048,,L
LRIP5,R5122743-3A4A,PCR 12743 - ATC PUSH TO TALK ASIP BLANKING,,W,HEX,LR5122743,HEX,3A4A,201102,0.00,0.00,0.00,66.38,0.00,0.00,0.00,0.00,0.00,0.00,8605.98,0048,,L
LRIP5,R5122743-3A4A,PCR 12743 - ATC PUSH TO TALK ASIP BLANKING,,W,HEX,LR5122743,HEX,3A4A,201103,0.00,0.00,64.80,0.00,0.00,2096.28,0.00,0.00,7554.83,0.00,0.00,0048,,L
LRIP5,R512ACTR-3A4A,ACTUATORS SPOILER/RUDERVATOR/AILERON,,W,HEX,LR512ACTR,HEX,3A4A,201104,0.00,0.00,16.97,0.00,0.00,548.86,0.00,0.00,1978.05,0.00,0.00,0053,,L
LRIP5,R512ACTR-3A4A,ACTUATORS SPOILER/RUDERVATOR/AILERON,,W,HEX,LR512ACTR,HEX,3A4A,201109,0.00,4.29,0.00,0.00,0.00,0.00,220.74,0.00,0.00,783.11,0.00,0053,,L
LRIP5,R512ACTR-4A1G,ACTUATORS SPOILER/RUDERVATOR/AILERON,,W,HHX,LR512ACTR,HHX,4A1G,201106,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.19,0053,,L
LRIP5,R512ACTR-4A1G,ACTUATORS SPOILER/RUDERVATOR/AILERON,,W,HHX,LR512ACTR,HHX,4A1G,201111,0.00,0.00,0.00,932.00,0.00,0.00,0.00,0.00,0.00,0.00,108582.22,0053,,L
LRIP5,R512ACTR-4A1G,ACTUATORS SPOILER/RUDERVATOR/AILERON,,W,HHX,LR512ACTR,HHX,4A1G,201112,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0053,,L
LRIP5,R512ACTR-4A1G,ACTUATORS SPOILER/RUDERVATOR/AILERON,,W,HHX,LR512ACTR,HHX,4A1G,201201,0.00,0.00,0.00,932.00,0.00,0.00,0.00,0.00,0.00,0.00,114771.90,0053,,L
LRIP5,R512ACTR-4J3G,ACTUATORS SPOILER/RUDERVATOR/AILERON,,W,HHX,LR512ACTR,HHX,4J3G,201104,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,543.33,0053,,L
LRIP5,R512ACTR-4J3G,ACTUATORS SPOILER/RUDERVATOR/AILERON,,W,HHX,LR512ACTR,HHX,4J3G,201111,0.00,0.00,0.00,49.30,0.00,0.00,0.00,0.00,0.00,0.00,7767.88,0053,,L
LRIP5,R512ACTR-4J3G,ACTUATORS SPOILER/RUDERVATOR/AILERON,,W,HHX,LR512ACTR,HHX,4J3G,201112,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0053,,L
LRIP5,R512ACTR-4J3G,ACTUATORS SPOILER/RUDERVATOR/AILERON,,W,HHX,LR512ACTR,HHX,4J3G,201201,0.00,0.00,0.00,49.30,0.00,0.00,0.00,0.00,0.00,0.00,9074.51,0053,,L
