PROJECT,WBS ID,DESCRIPTION,ALIAS,E,CAM,CHARGE #,RESP,PERF,YYYYMM,BCWS HRS/UTS,ACT HRS/UTS,BCWP HRS/UTS,ETC HRS/UTS,BCWS PRIME,BCWP PRIME,ACT PRIME,BCWS T DLRS,BCWP T DLRS,ACT T DLRS,ETC T DLRS,CLIN,XREF-4,E
LRIPOC,C8MX33AB-811H0030,AV IPT Analysis & Int. Anom Inv AF33 & 34,L8 S/U M,W,HBX,LC8MX33AB,HBX,0811H,201202,0.00,0.00,0.00,5.30,0.00,0.00,0.00,0.00,0.00,0.00,844.80,,0033AB,L
LRIPOC,C8MX33AB-811H0030,AV IPT Analysis & Int. Anom Inv AF33 & 34,L8 S/U M,W,HBX,LC8MX33AB,HBX,0811H,201203,0.00,0.00,0.00,5.30,0.00,0.00,0.00,0.00,0.00,0.00,835.77,,0033AB,L
LRIPOC,C8MX33AB-815H0030,AV IPT Equip & Susbsys Anom Inv AF33 & 34,L8 S/U M,W,HEX,LC8MX33AB,HEX,0815H,201201,29.70,0.00,0.00,0.00,1703.00,0.00,0.00,4798.53,0.00,0.00,64.44,,0033AB,L
LRIPOC,C8MX33AB-815H0030,AV IPT Equip & Susbsys Anom Inv AF33 & 34,L8 S/U M,W,HEX,LC8MX33AB,HEX,0815H,201203,0.00,0.00,0.00,29.70,0.00,0.00,0.00,0.00,0.00,0.00,4683.47,,0033AB,L
LRIPOC,C8MX33AB-816H0030,AV IPT Liaison Eng. Support AF-33 & 34,L8 S/U M,W,HHX,LC8MX33AB,HHX,0816H,201112,16.28,0.00,0.00,0.00,900.77,0.00,0.00,2467.18,0.00,0.00,0.00,,0033AB,L
LRIPOC,C8MX33AB-816H0030,AV IPT Liaison Eng. Support AF-33 & 34,L8 S/U M,W,HHX,LC8MX33AB,HHX,0816H,201201,0.00,0.00,0.00,16.28,0.00,0.00,0.00,0.00,0.00,0.00,2630.31,,0033AB,L
LRIPOC,C8MX33AB-819H0030,AV IPT Mission Plan Validation CLIN 00AB & Flight Systems Anom Inv AF33 &34,L8 S/U M,W,HJX,LC8MX33AB,HJX,0819H,201201,104.20,0.00,104.20,104.20,5974.83,5974.83,0.00,16835.25,16835.25,0.00,16835.25,,0033AB,L
LRIPOC,C8MX33AB-819H0030,AV IPT Mission Plan Validation CLIN 00AB & Flight Systems Anom Inv AF33 &34,L8 S/U M,W,HJX,LC8MX33AB,HJX,0819H,201202,0.00,0.00,0.00,104.20,0.00,0.00,0.00,0.00,0.00,0.00,16609.17,,0033AB,L
LRIPOC,C8MX33AB-819H0030,AV IPT Mission Plan Validation CLIN 00AB & Flight Systems Anom Inv AF33 &34,L8 S/U M,W,HJX,LC8MX33AB,HJX,0819H,201203,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,7884.64,,0033AB,L
LRIPOC,C8MX33AB-819H0030,AV IPT Mission Plan Validation CLIN 00AB & Flight Systems Anom Inv AF33 &34,L8 S/U M,W,HJX,LC8MX33AB,HJX,0819H,201204,0.00,0.00,0.00,54.20,0.00,0.00,0.00,0.00,0.00,0.00,8546.94,,0033AB,L
LRIPOC,C8MX33AB-9G070030,Ferry Flight (1) AF-33 & 34,L8 S/U M,W,HHX,LC8MX33AB,HHX,09G07,201112,106.20,31.00,0.00,31.00,5039.19,0.00,1728.97,13802.12,0.00,4568.97,3793.84,,0033AB,L
LRIPOC,C8MX33AB-9G070030,Ferry Flight (1) AF-33 & 34,L8 S/U M,W,HHX,LC8MX33AB,HHX,09G07,201201,0.00,83.80,0.00,75.20,0.00,0.00,4641.92,0.00,0.00,12939.67,11380.65,,0033AB,L
LRIPOC,C7MX4810-4A1G0030,Scheduled and Unscheduled Maintenance,Lot 7,W,HHX,LC7MX4810,HHX,4A1G,201107,186.90,13.10,0.00,186.90,6502.25,0.00,428.27,24709.85,0.00,1519.36,23132.78,,0048AA,L
LRIPOC,C7MX4810-4A1G0030,Scheduled and Unscheduled Maintenance,Lot 7,W,HHX,LC7MX4810,HHX,4A1G,201108,169.40,21.10,0.00,-186.90,5893.43,0.00,613.29,22396.20,0.00,2175.76,-23128.13,,0048AA,L
LRIPOC,C7MX4810-4A1G0030,Scheduled and Unscheduled Maintenance,Lot 7,W,HHX,LC7MX4810,HHX,4A1G,201109,42.40,26.30,0.00,190.70,1475.10,0.00,884.12,5605.66,0.00,3136.57,23598.36,,0048AA,L
LRIPOC,C7MX4810-4A1G0030,Scheduled and Unscheduled Maintenance,Lot 7,W,HHX,LC7MX4810,HHX,4A1G,201110,0.00,0.00,0.00,173.80,0.00,0.00,0.00,0.00,0.00,0.00,21507.05,,0048AA,L
LRIPOC,C7MX4810-4A1G0030,Scheduled and Unscheduled Maintenance,Lot 7,W,HHX,LC7MX4810,HHX,4A1G,201111,0.00,0.00,398.70,0.00,0.00,13870.77,0.00,0.00,52711.71,0.00,0.00,,0048AA,L
LRIPOC,C7CF4810-4A1G0030,Chase and Ferry Support,Lot 7,W,HHX,LC7CF4810,HHX,4A1G,201107,85.50,0.00,0.00,85.50,2974.55,0.00,0.00,11303.87,0.00,0.00,10582.41,,0048AA,L
LRIPOC,C7CF4810-4A1G0030,Chase and Ferry Support,Lot 7,W,HHX,LC7CF4810,HHX,4A1G,201109,0.00,125.90,0.00,0.00,0.00,0.00,5688.16,0.00,0.00,20179.76,0.00,,0048AA,L
LRIPOC,C7MX4810-816H0030,Scheduled and Unscheduled Maintenance,Lot 7,W,HHX,LC7MX4810,HHX,816H,201107,48.80,0.00,0.00,48.80,2700.10,0.00,0.00,7395.46,0.00,0.00,6952.09,,0048AA,L
LRIPOC,C7MX4810-816H0030,Scheduled and Unscheduled Maintenance,Lot 7,W,HHX,LC7MX4810,HHX,816H,201108,51.70,0.00,0.00,-48.80,2860.56,0.00,0.00,7834.95,0.00,0.00,-6951.54,,0048AA,L
LRIPOC,C7MX4810-816H0030,Scheduled and Unscheduled Maintenance,Lot 7,W,HHX,LC7MX4810,HHX,816H,201109,12.90,73.50,0.00,64.60,713.76,0.00,3800.61,1954.95,0.00,10043.47,9202.25,,0048AA,L
LRIPOC,C7MX4810-816H0030,Scheduled and Unscheduled Maintenance,Lot 7,W,HHX,LC7MX4810,HHX,816H,201110,0.00,-2.30,0.00,48.80,0.00,0.00,-124.35,0.00,0.00,-328.61,6951.54,,0048AA,L
LRIPOC,C7MX4810-816H0030,Scheduled and Unscheduled Maintenance,Lot 7,W,HHX,LC7MX4810,HHX,816H,201111,0.00,0.00,113.40,0.00,0.00,6274.42,0.00,0.00,17185.36,0.00,0.00,,0048AA,L
LRIPOC,C7MX4810-816H0030,Scheduled and Unscheduled Maintenance,Lot 7,W,HHX,LC7MX4810,HHX,816H,201112,0.00,16.50,0.00,0.00,0.00,0.00,759.14,0.00,0.00,2006.10,0.00,,0048AA,L
LRIPOC,C7MX4810-816H0030,Scheduled and Unscheduled Maintenance,Lot 7,W,HHX,LC7MX4810,HHX,816H,201201,0.00,19.60,0.00,29.70,0.00,0.00,1043.81,0.00,0.00,2909.69,4798.53,,0048AA,L
LRIPOC,C7MX4810-816H0030,Scheduled and Unscheduled Maintenance,Lot 7,W,HHX,LC7MX4810,HHX,816H,201202,0.00,1.10,0.00,0.00,0.00,0.00,86.81,0.00,0.00,241.99,0.00,,0048AA,L
LRIPOC,C7MX4810-810H0030,Scheduled and Unscheduled Maintenance,Lot 7,W,H00,LC7MX4810,H00,810H,201201,16.25,0.00,16.25,16.25,931.78,931.78,0.00,2625.46,2625.46,0.00,2625.46,,0048AA,L
LRIPOC,C7MX4810-810H0030,Scheduled and Unscheduled Maintenance,Lot 7,W,H00,LC7MX4810,H00,810H,201202,17.22,0.00,17.22,18.58,987.39,987.39,0.00,2782.18,2782.18,0.00,2998.96,,0048AA,L
LRIPOC,C7MX4810-810H0030,Scheduled and Unscheduled Maintenance,Lot 7,W,H00,LC7MX4810,H00,810H,201203,21.09,0.00,21.09,22.45,1209.30,1209.30,0.00,3407.44,3407.44,0.00,3540.20,,0048AA,L
LRIPOC,C7MX4810-810H0030,Scheduled and Unscheduled Maintenance,Lot 7,W,H00,LC7MX4810,H00,810H,201204,17.22,0.00,0.00,18.58,987.39,0.00,0.00,2782.18,0.00,0.00,2929.93,,0048AA,L
LRIPOC,C7MX4810-810H0030,Scheduled and Unscheduled Maintenance,Lot 7,W,H00,LC7MX4810,H00,810H,201205,17.22,0.00,0.00,18.58,987.39,0.00,0.00,2782.18,0.00,0.00,2929.93,,0048AA,L
LRIPOC,C7MX4810-810H0030,Scheduled and Unscheduled Maintenance,Lot 7,W,H00,LC7MX4810,H00,810H,201206,20.98,0.00,0.00,22.34,1202.99,0.00,0.00,3389.67,0.00,0.00,3522.86,,0048AA,L
LRIPOC,C7MX4810-810H0030,Scheduled and Unscheduled Maintenance,Lot 7,W,H00,LC7MX4810,H00,810H,201207,16.25,0.00,0.00,27.19,931.78,0.00,0.00,2625.46,0.00,0.00,4287.66,,0048AA,L
