PROJECT,WBS ID,DESCRIPTION,ALIAS,E,CAM,CHARGE #,RESP,PERF,YYYYMM,BCWS HRS/UTS,ACT HRS/UTS,BCWP HRS/UTS,ETC HRS/UTS,BCWS PRIME,BCWP PRIME,ACT PRIME,BCWS T DLRS,BCWP T DLRS,ACT T DLRS,ETC T DLRS,CLIN,CA Clin,E
LRIP10,10A40HHX,AF39 Manufacturing at Moss Point and Palmdale,Block 30,C,HHX,,HHX,,201210,526.50,0.00,0.00,526.50,17169.17,0.00,0.00,63934.41,0.00,0.00,62811.39,0003,0003,L
LRIP10,10A40HHX,AF39 Manufacturing at Moss Point and Palmdale,Block 30,C,HHX,,HHX,,201211,493.60,0.00,0.00,493.60,16096.30,0.00,0.00,59939.26,0.00,0.00,58886.42,0003,0003,L
LRIP10,10A40HHX,AF39 Manufacturing at Moss Point and Palmdale,Block 30,C,HHX,,HHX,,201212,535.80,0.00,0.00,535.80,17472.44,0.00,0.00,65063.73,0.00,0.00,63920.88,0003,0003,L
LRIP10,10A40HHX,AF39 Manufacturing at Moss Point and Palmdale,Block 30,C,HHX,,HHX,,201301,759.80,0.00,0.00,759.80,25407.71,0.00,0.00,96634.31,0.00,0.00,94300.26,0003,0003,L
LRIP10,10A40HHX,AF39 Manufacturing at Moss Point and Palmdale,Block 30,C,HHX,,HHX,,201302,675.40,0.00,0.00,675.40,22585.38,0.00,0.00,85899.99,0.00,0.00,83825.21,0003,0003,L
LRIP10,10A40HHX,AF39 Manufacturing at Moss Point and Palmdale,Block 30,C,HHX,,HHX,,201303,726.00,0.00,0.00,726.00,24277.44,0.00,0.00,92335.50,0.00,0.00,90105.27,0003,0003,L
LRIP10,10A40HHX,AF39 Manufacturing at Moss Point and Palmdale,Block 30,C,HHX,,HHX,,201304,1462.60,0.00,0.00,1462.60,48909.34,0.00,0.00,186019.15,0.00,0.00,181526.13,0003,0003,L
LRIP10,10A40HHX,AF39 Manufacturing at Moss Point and Palmdale,Block 30,C,HHX,,HHX,,201305,1096.90,0.00,0.00,1096.90,36680.34,0.00,0.00,139508.00,0.00,0.00,136138.39,0003,0003,L
LRIP10,10A40HHX,AF39 Manufacturing at Moss Point and Palmdale,Block 30,C,HHX,,HHX,,201306,658.10,0.00,0.00,658.10,22006.86,0.00,0.00,83699.71,0.00,0.00,81678.07,0003,0003,L
LRIP10,10A40HHX,AF39 Manufacturing at Moss Point and Palmdale,Block 30,C,HHX,,HHX,,201308,357.30,0.00,0.00,357.30,11948.11,0.00,0.00,45442.80,0.00,0.00,44345.20,0003,0003,L
