PROJECT,WBS ID,DESCRIPTION,ALIAS,E,CAM,CHARGE #,RESP,PERF,YYYYMM,BCWS HRS/UTS,ACT HRS/UTS,BCWP HRS/UTS,ETC HRS/UTS,BCWS PRIME,BCWP PRIME,ACT PRIME,BCWS T DLRS,BCWP T DLRS,ACT T DLRS,ETC T DLRS,CLIN,CACLIN,E
LRIP9P,R9RTPHEX-818H,MP-RTIP Section 1100 Supt -Labor,MP-RTIP,W,HEX,LR9RTPHEX,HEX,818H,201308,0.00,0.00,0.00,57.71,0.00,0.00,0.00,0.00,0.00,0.00,9524.44,0006,,L
LRIP9P,R9RTPHEX-818H,MP-RTIP Section 1100 Supt -Labor,MP-RTIP,W,HEX,LR9RTPHEX,HEX,818H,201309,0.00,0.00,0.00,54.82,0.00,0.00,0.00,0.00,0.00,0.00,9048.20,0006,,L
LRIP9P,R9R07HHX-4A1G,MPRTIP 07 FT/Installation/Fuel Ops Spt,MP-RTIP,W,HHX,LR9R07HHX,HHX,4A1G,201304,31.20,0.00,0.00,31.20,1071.41,0.00,0.00,4074.94,0.00,0.00,3872.29,0006,,L
LRIP9P,R9R07HHX-4A1G,MPRTIP 07 FT/Installation/Fuel Ops Spt,MP-RTIP,W,HHX,LR9R07HHX,HHX,4A1G,201305,234.40,0.00,0.00,234.40,8049.30,0.00,0.00,30614.26,0.00,0.00,29091.84,0006,,L
LRIP9P,R9R07HHX-4A1G,MPRTIP 07 FT/Installation/Fuel Ops Spt,MP-RTIP,W,HHX,LR9R07HHX,HHX,4A1G,201306,250.00,0.00,0.00,250.00,8585.00,0.00,0.00,32651.72,0.00,0.00,31027.99,0006,,L
LRIP9P,R9R07HHX-4A1G,MPRTIP 07 FT/Installation/Fuel Ops Spt,MP-RTIP,W,HHX,LR9R07HHX,HHX,4A1G,201307,265.60,0.00,0.00,265.60,9120.70,0.00,0.00,34689.19,0.00,0.00,32964.13,0006,,L
LRIP9P,R9R08HHX-4A1G,MPRTIP 08 FT/Installation/Fuel Ops Spt,MP-RTIP,W,HHX,LR9R08HHX,HHX,4A1G,201307,275.70,0.00,0.00,275.70,9467.54,0.00,0.00,36008.32,0.00,0.00,34217.66,0007,,L
LRIP9P,R9R08HHX-4A1G,MPRTIP 08 FT/Installation/Fuel Ops Spt,MP-RTIP,W,HHX,LR9R08HHX,HHX,4A1G,201308,245.10,0.00,0.00,245.10,8416.73,0.00,0.00,32011.75,0.00,0.00,30419.84,0007,,L
LRIP9P,R9R08HHX-4A1G,MPRTIP 08 FT/Installation/Fuel Ops Spt,MP-RTIP,W,HHX,LR9R08HHX,HHX,4A1G,201309,245.10,0.00,0.00,245.10,8416.73,0.00,0.00,32011.75,0.00,0.00,30419.84,0007,,L
LRIP9P,R9R08HHX-4A1G,MPRTIP 08 FT/Installation/Fuel Ops Spt,MP-RTIP,W,HHX,LR9R08HHX,HHX,4A1G,201310,15.30,0.00,0.00,15.30,525.40,0.00,0.00,1998.29,0.00,0.00,1898.91,0007,,L
,,,,,,,,,,,,,,,,,,,,,,,
