PROJECT,WBS ID,DESCRIPTION,ALIAS,E,Type,CHARGE #,RESP,PERF,YYYYMM,BCWS HRS/UTS,ACT HRS/UTS,BCWP HRS/UTS,ETC HRS/UTS,BCWS PRIME,BCWP PRIME,ACT PRIME,BCWS T DLRS,BCWP T DLRS,ACT T DLRS,ETC T DLRS,CLIN,XREF-4,E
EHSS,242230-4A1G,PCR#13874 Rework Harnesses & Install -Palmdale,BASIC,C,FFP,LEH242230,HHX,4A1G,201102,-33.00,0.00,-33.00,0.00,-1100.88,-1100.88,0.00,-3864.17,-3864.17,0.00,0.00,1,BASIC,L
EHSS,2420J2-HJMV,Mission Validation for Flt. 2 Forward,JMPS,C,CPFF,LEH2420J2,HJX,819H,201101,80.00,65.50,120.00,66.00,4355.20,6532.80,2553.19,11911.42,17119.53,6763.30,0.00,2,JMPS,L
EHSS,2420J2-HJMV,Mission Validation for Flt. 2 Forward,JMPS,C,CPFF,LEH2420J2,HJX,819H,201102,80.00,67.00,0.00,67.00,4355.20,0.00,2661.52,11911.42,0.00,7050.27,0.00,2,JMPS,L
EHSS,2420J2-HJMV,Mission Validation for Flt. 2 Forward,JMPS,C,CPFF,LEH2420J2,HJX,819H,201103,0.00,53.00,0.00,53.00,0.00,0.00,2127.98,0.00,0.00,5636.94,0.00,2,JMPS,L
EHSS,2420J2-HJMV,Mission Validation for Flt. 2 Forward,JMPS,C,CPFF,LEH2420J2,HJX,819H,201104,0.00,64.50,0.00,65.00,0.00,0.00,2811.48,0.00,0.00,7447.51,0.00,2,JMPS,L
EHSS,2420J2-HJMV,Mission Validation for Flt. 2 Forward,JMPS,C,CPFF,LEH2420J2,HJX,819H,201105,0.00,20.60,120.00,21.00,0.00,6532.80,835.67,0.00,17867.13,2213.66,0.00,2,JMPS,L
EHSS,2420J2-HJMV,Mission Validation for Flt. 2 Forward,JMPS,C,CPFF,LEH2420J2,HJX,819H,201106,0.00,62.00,0.00,62.00,0.00,0.00,2386.00,0.00,0.00,6320.42,0.00,2,JMPS,L
EHSS,2420J2-HJMV,Mission Validation for Flt. 2 Forward,JMPS,C,CPFF,LEH2420J2,HJX,819H,201107,0.00,100.00,0.00,100.00,0.00,0.00,4264.28,0.00,0.00,11295.92,0.00,2,JMPS,L
EHSS,2420J2-HJMV,Mission Validation for Flt. 2 Forward,JMPS,C,CPFF,LEH2420J2,HJX,819H,201108,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,JMPS,L
EHSS,2420J2-HJMV,Mission Validation for Flt. 2 Forward,JMPS,C,CPFF,LEH2420J2,HJX,819H,201109,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,JMPS,L
EHSS,2420J2-HJMV,Mission Validation for Flt. 2 Forward,JMPS,C,CPFF,LEH2420J2,HJX,819H,201110,42.00,24.50,42.50,25.00,2286.48,2313.70,921.73,6253.50,6327.94,2441.63,0.00,2,JMPS,L
EHSS,2420J2-HJMV,Mission Validation for Flt. 2 Forward,JMPS,C,CPFF,LEH2420J2,HJX,819H,201111,126.00,0.00,0.00,0.00,6859.44,0.00,0.00,18760.49,0.00,0.00,0.00,2,JMPS,L
EHSS,2420J2-HJMV,Mission Validation for Flt. 2 Forward,JMPS,C,CPFF,LEH2420J2,HJX,819H,201112,168.00,51.90,42.50,52.00,9145.92,2313.70,2084.26,25013.99,6327.94,5521.13,0.00,2,JMPS,L
EHSS,2420J2-HJMV,Mission Validation for Flt. 2 Forward,JMPS,C,CPFF,LEH2420J2,HJX,819H,201201,206.00,103.50,292.50,104.00,11812.04,16044.05,3953.39,33282.73,44077.11,11020.34,16941.79,2,JMPS,L
EHSS,2420J2-HJMV,Mission Validation for Flt. 2 Forward,JMPS,C,CPFF,LEH2420J2,HJX,819H,201202,84.00,165.60,117.50,166.00,4816.56,6737.45,6181.13,13571.60,18984.08,17230.32,26906.85,2,JMPS,L
EHSS,2420J2-HJMV,Mission Validation for Flt. 2 Forward,JMPS,C,CPFF,LEH2420J2,HJX,819H,201203,84.00,37.10,0.00,150.00,4816.56,0.00,1445.23,13571.60,0.00,4028.68,23653.91,2,JMPS,L
EHSS,2420J2-HJMV,Mission Validation for Flt. 2 Forward,JMPS,C,CPFF,LEH2420J2,HJX,819H,201204,124.00,0.00,0.00,120.00,7110.16,0.00,0.00,20034.27,0.00,0.00,18923.13,2,JMPS,L
