PROJECT,WBS ID,DESCRIPTION,ALIAS,E,XREF-7,CHARGE #,RESP,PERF,YYYYMM,BCWS HRS/UTS,ACT HRS/UTS,BCWP HRS/UTS,ETC HRS/UTS,BCWS PRIME,BCWP PRIME,ACT PRIME,BCWS T DLRS,BCWP T DLRS,ACT T DLRS,ETC T DLRS,CLIN,XREF-4,E,
GHBOA,100-01HBX1,HALE AIR VEHICLE ANALYSIS & INTEGR - ENG,,W,,LY101HBX1,HBX,811H,201202,0.96,0.00,0.00,3.35,55.22,0.00,0.00,155.60,0.00,0.00,537.62,1,,L,
GHBOA,100-01HBX1,HALE AIR VEHICLE ANALYSIS & INTEGR - ENG,,W,,LY101HBX1,HBX,811H,201203,0.96,0.00,0.00,1.58,55.22,0.00,0.00,155.60,0.00,0.00,255.49,1,,L,
GHBOA,100-01HBX1,HALE AIR VEHICLE ANALYSIS & INTEGR - ENG,,W,,LY101HBX1,HBX,811H,201204,1.20,0.00,0.00,1.82,69.03,0.00,0.00,194.50,0.00,0.00,294.39,1,,L,
GHBOA,100-01HBX1,HALE AIR VEHICLE ANALYSIS & INTEGR - ENG,,W,,LY101HBX1,HBX,811H,201205,0.91,0.00,0.00,1.25,52.46,0.00,0.00,147.82,0.00,0.00,202.46,1,,L,
GHBOA,100-01HBX1,HALE AIR VEHICLE ANALYSIS & INTEGR - ENG,,W,,LY101HBX1,HBX,811H,201206,0.96,0.00,0.00,1.26,55.22,0.00,0.00,155.60,0.00,0.00,203.79,1,,L,
GHBOA,100-01HBX1,HALE AIR VEHICLE ANALYSIS & INTEGR - ENG,,W,,LY101HBX1,HBX,811H,201207,1.16,0.00,0.00,1.45,66.27,0.00,0.00,186.72,0.00,0.00,234.89,1,,L,
GHBOA,100-01HBX1,HALE AIR VEHICLE ANALYSIS & INTEGR - ENG,,W,,LY101HBX1,HBX,811H,201208,0.96,0.00,0.00,1.26,55.22,0.00,0.00,155.60,0.00,0.00,203.79,1,,L,
GHBOA,100-01HBX1,HALE AIR VEHICLE ANALYSIS & INTEGR - ENG,,W,,LY101HBX1,HBX,811H,201209,0.91,0.00,0.00,1.21,52.46,0.00,0.00,147.82,0.00,0.00,196.00,1,,L,
GHBOA,100-01HBX1,HALE AIR VEHICLE ANALYSIS & INTEGR - ENG,,W,,LY101HBX1,HBX,811H,201210,1.20,0.00,0.00,1.50,69.03,0.00,0.00,194.50,0.00,0.00,242.68,1,,L,
GHBOA,100-01HBX1,HALE AIR VEHICLE ANALYSIS & INTEGR - ENG,,W,,LY101HBX1,HBX,811H,201211,0.87,0.00,0.00,1.17,49.70,0.00,0.00,140.04,0.00,0.00,188.27,1,,L,
GHBOA,100-01HBX1,HALE AIR VEHICLE ANALYSIS & INTEGR - ENG,,W,,LY101HBX1,HBX,811H,201212,0.72,0.00,0.00,0.83,41.42,0.00,0.00,116.70,0.00,0.00,134.20,1,,L,
,,,,,,,,,,,,,,,,,,,,,,,,
