PROJECT,WBS ID,DESCRIPTION,ALIAS,E,CAM,CHARGE #,RESP,PERF,YYYYMM,BCWS HRS/UTS,ACT HRS/UTS,BCWP HRS/UTS,ETC HRS/UTS,BCWS PRIME,BCWP PRIME,ACT PRIME,BCWS T DLRS,BCWP T DLRS,ACT T DLRS,ETC T DLRS,CLIN,CACLIN,E
LRIP8P,R8RTPHEX-818H003,AV IPT - MP-RTIP 6 Flight Test Support,RTIP,W,HEX,,HEX,818H,201304,48.48,0.00,0.00,48.48,2887.11,0.00,0.00,8330.45,0.00,0.00,8002.03,0006,,L
LRIP8P,R8RTPHEX-818H003,AV IPT - MP-RTIP 6 Flight Test Support,RTIP,W,HEX,,HEX,818H,201305,36.85,0.00,0.00,36.85,2194.21,0.00,0.00,6331.18,0.00,0.00,6081.56,0006,,L
LRIP8P,R8RTPHEX-818H003,AV IPT - MP-RTIP 6 Flight Test Support,RTIP,W,HEX,,HEX,818H,201306,38.79,0.00,0.00,38.79,2309.70,0.00,0.00,6664.40,0.00,0.00,6401.64,0006,,L
LRIP8P,R8RTPHJX-819H01,AV IPT - MP-RTIP 4 Flight Test Support,RTIP,W,HJX,,HJX,819H,201212,13.23,0.00,0.00,13.23,758.55,0.00,0.00,2137.36,0.00,0.00,2086.11,0006,,L
LRIP8P,R8RTPHJX-819H01,AV IPT - MP-RTIP 4 Flight Test Support,RTIP,W,HJX,,HJX,819H,201301,15.21,0.00,0.00,15.21,905.94,0.00,0.00,2614.00,0.00,0.00,2510.96,0006,,L
LRIP8P,R8RTPHJX-819H01,AV IPT - MP-RTIP 4 Flight Test Support,RTIP,W,HJX,,HJX,819H,201302,13.23,0.00,0.00,13.23,787.78,0.00,0.00,2273.07,0.00,0.00,2183.45,0006,,L
LRIP8P,R8RTPHJX-819H01,AV IPT - MP-RTIP 4 Flight Test Support,RTIP,W,HJX,,HJX,819H,201303,13.23,0.00,0.00,13.23,787.78,0.00,0.00,2273.07,0.00,0.00,2183.45,0006,,L
LRIP8P,R8RTPHJX-819H02,AV IPT - MP-RTIP 5 Flight Test Support,RTIP,W,HJX,,HJX,819H,201301,13.64,0.00,0.00,13.64,812.44,0.00,0.00,2344.22,0.00,0.00,2251.82,0006,,L
LRIP8P,R8RTPHJX-819H02,AV IPT - MP-RTIP 5 Flight Test Support,RTIP,W,HJX,,HJX,819H,201302,11.86,0.00,0.00,11.86,706.47,0.00,0.00,2038.45,0.00,0.00,1958.10,0006,,L
LRIP8P,R8RTPHJX-819H02,AV IPT - MP-RTIP 5 Flight Test Support,RTIP,W,HJX,,HJX,819H,201303,11.86,0.00,0.00,11.86,706.47,0.00,0.00,2038.45,0.00,0.00,1958.10,0006,,L
LRIP8P,R8RTPHJX-819H02,AV IPT - MP-RTIP 5 Flight Test Support,RTIP,W,HJX,,HJX,819H,201304,14.83,0.00,0.00,14.83,883.10,0.00,0.00,2548.10,0.00,0.00,2447.64,0006,,L
LRIP8P,R8RTPHJX-819H03,AV IPT - MP-RTIP 6 Flight Test Support,RTIP,W,HJX,,HJX,819H,201303,11.57,0.00,0.00,11.57,689.08,0.00,0.00,1988.26,0.00,0.00,1909.88,0006,,L
