PROJECT,WBS ID,DESCRIPTION,ALIAS,E,IPT,CHARGE #,RESP,PERF,YYYYMM,BCWS HRS/UTS,ACT HRS/UTS,BCWP HRS/UTS,ETC HRS/UTS,BCWS PRIME,BCWP PRIME,ACT PRIME,BCWS T DLRS,BCWP T DLRS,ACT T DLRS,ETC T DLRS,CLIN,EOC,E
LT4,4210NA-NGAii,AV IPT UAV Subsytems FSR at 380th,380th,W,HXX,LT44210NA,HEX,0815H,201203,254.35,0.00,0.00,7.86,15182.45,0.00,0.00,32780.39,0.00,0.00,984.43,0006,IWO,L
LT4,421NTA-NGAii,AV IPT UAV Subsytems FSR at 380th Travel,380th,W,HXX,LT4421NTA,HEX,0815H,201201,229.32,0.00,229.32,0.00,13687.90,13687.90,0.00,29553.50,29553.50,0.00,-0.34,0028,IWO,L
LT4,421NTA-NGAii,AV IPT UAV Subsytems FSR at 380th Travel,380th,W,HXX,LT4421NTA,HEX,0815H,201202,360.03,0.00,360.03,755.74,21490.00,21490.00,0.00,46399.01,46399.01,0.00,97397.29,0028,IWO,L
LT4,421NTA-NGAii,AV IPT UAV Subsytems FSR at 380th Travel,380th,W,HXX,LT4421NTA,HEX,0815H,201203,752.16,0.00,0.00,752.16,44896.30,0.00,0.00,96935.51,0.00,0.00,94185.63,0028,IWO,L
LT4,4220BZ-0819H,AV IPT Mission Plan Valid. OP1 Baseline,,W,HXX,LT44220BZ,HJX,0819H,201104,494.03,333.80,494.03,0.00,26504.71,26504.71,13018.26,71620.97,71620.97,34401.99,0.00,0004,LABOR,L
LT4,4220BZ-0819H,AV IPT Mission Plan Valid. OP1 Baseline,,W,HXX,LT44220BZ,HJX,0819H,201105,494.03,552.50,494.03,0.00,26504.71,26504.71,21352.01,71620.97,71620.97,56424.71,0.00,0004,LABOR,L
LT4,4220BZ-0819H,AV IPT Mission Plan Valid. OP1 Baseline,,W,HXX,LT44220BZ,HJX,0819H,201106,577.36,556.10,577.36,0.00,30975.31,30975.31,20626.25,83701.42,83701.42,54506.83,0.00,0004,LABOR,L
LT4,4220BZ-0819H,AV IPT Mission Plan Valid. OP1 Baseline,,W,HXX,LT44220BZ,HJX,0819H,201107,466.24,266.00,466.24,0.00,25013.78,25013.78,9312.00,67592.17,67592.17,24607.84,0.00,0004,LABOR,L
LT4,4220BZ-0819H,AV IPT Mission Plan Valid. OP1 Baseline,,W,HXX,LT44220BZ,HJX,0819H,201108,494.03,240.10,494.03,0.00,26504.71,26504.71,8405.50,71620.97,71620.97,22212.33,0.00,0004,LABOR,L
LT4,4220BZ-0819H,AV IPT Mission Plan Valid. OP1 Baseline,,W,HXX,LT44220BZ,HJX,0819H,201109,577.39,207.10,577.39,0.00,30976.97,30976.97,7407.77,83705.91,83705.91,19575.74,0.00,0004,LABOR,L
LT4,4220BZ-0819H,AV IPT Mission Plan Valid. OP1 Baseline,,W,HXX,LT44220BZ,HJX,0819H,201110,-591.28,356.20,-591.28,0.00,-74223.59,-74223.59,12134.81,-202460.07,-202460.07,32067.39,0.00,0004,LABOR,L
