PROJECT,WBS ID,DESCRIPTION,ALIAS,E,CAM,CHARGE #,RESP,PERF,YYYYMM,BCWS HRS/UTS,ACT HRS/UTS,BCWP HRS/UTS,ETC HRS/UTS,BCWS PRIME,BCWP PRIME,ACT PRIME,BCWS T DLRS,BCWP T DLRS,ACT T DLRS,ETC T DLRS,CLIN,CACLIN,E
LRIP9B,R9CBRWKE,AV ENG Sust Rework-Common BL,,W,H00,LR9CBRWKE,H00,ENG,201202,276.00,336.80,276.00,336.80,15825.84,15825.84,16661.19,44592.40,44592.40,46444.20,54415.15,0010,,L
LRIP9B,R9CBRWKE,AV ENG Sust Rework-Common BL,,W,H00,LR9CBRWKE,H00,ENG,201203,0.00,89.50,0.00,183.22,0.00,0.00,4358.60,0.00,0.00,12273.25,28892.46,0010,,L
LRIP9B,R9CBRWKM,AV MFG Sust Rework-Common BL,,W,H00,LR9CBRWKM,H00,MFG,201103,130.00,43.48,130.00,43.48,5834.40,5834.40,1712.79,22539.14,22539.14,6076.43,7942.09,0010,,L
LRIP9B,R9CBRWKM,AV MFG Sust Rework-Common BL,,W,H00,LR9CBRWKM,H00,MFG,201104,96.00,44.03,96.00,44.03,4308.48,4308.48,1636.05,16644.29,16644.29,5804.18,7428.43,0010,,L
LRIP9B,R9CBRWKM,AV MFG Sust Rework-Common BL,,W,H00,LR9CBRWKM,H00,MFG,201105,92.00,14.50,92.00,14.50,4128.96,4128.96,597.17,15950.77,15950.77,2118.57,2446.34,0010,,L
LRIP9B,R9CBRWKM,AV MFG Sust Rework-Common BL,,W,H00,LR9CBRWKM,H00,MFG,201106,88.00,63.75,88.00,63.75,3949.44,3949.44,3035.97,15257.26,15257.26,10433.81,10099.70,0010,,L
LRIP9B,R9CBRWKM,AV MFG Sust Rework-Common BL,,W,H00,LR9CBRWKM,H00,MFG,201107,80.00,29.93,80.00,90.00,3590.40,3590.40,1447.63,13870.24,13870.24,5135.73,14258.40,0010,,L
LRIP9B,R9CBRWKM,AV MFG Sust Rework-Common BL,,W,H00,LR9CBRWKM,H00,MFG,201108,76.00,31.60,76.00,31.60,3410.88,3410.88,1549.57,13176.73,13176.73,5497.38,5005.28,0010,,L
LRIP9B,R9CBRWKM,AV MFG Sust Rework-Common BL,,W,H00,LR9CBRWKM,H00,MFG,201109,90.00,90.25,90.00,34.21,4039.20,4039.20,4138.20,15604.02,15604.02,14681.00,5418.69,0010,,L
LRIP9B,R9CBRWKM,AV MFG Sust Rework-Common BL,,W,H00,LR9CBRWKM,H00,MFG,201110,80.00,84.82,80.00,30.00,3590.40,3590.40,3750.72,13870.24,13870.24,13306.35,4473.77,0010,,L
