PROJECT,WBS ID,DESCRIPTION,ALIAS,E,CAM,CHARGE #,RESP,PERF,YYYYMM,BCWS HRS/UTS,ACT HRS/UTS,BCWP HRS/UTS,ETC HRS/UTS,BCWS PRIME,BCWP PRIME,ACT PRIME,BCWS T DLRS,BCWP T DLRS,ACT T DLRS,ETC T DLRS,CLIN,COMPANY,E
GSREARC,311-26HJX1,"PH 1A REQ. DEV- LOG BEHAV, REQ ANAL & DEVEL",PH1A,W,HJX,LGS26HJX4,HJX,0819H,201202,4.00,0.00,4.00,4.00,229.36,229.36,0.00,646.27,646.27,0.00,646.27,126,,L
GSREARC,311-26HJX1,"PH 1A REQ. DEV- LOG BEHAV, REQ ANAL & DEVEL",PH1A,W,HJX,LGS26HJX4,HJX,0819H,201203,3.50,0.00,0.00,4.00,200.69,0.00,0.00,565.48,0.00,0.00,646.27,126,,L
GSREARC,311-26HJX1,"PH 1A REQ. DEV- LOG BEHAV, REQ ANAL & DEVEL",PH1A,W,HJX,LGS26HJX4,HJX,0819H,201204,3.50,0.00,0.00,4.50,200.69,0.00,0.00,565.48,0.00,0.00,727.05,126,,L
GSREARC,311-26HJX1,"PH 1A REQ. DEV- LOG BEHAV, REQ ANAL & DEVEL",PH1A,W,HJX,LGS26HJX4,HJX,0819H,201205,3.50,0.00,0.00,4.50,200.69,0.00,0.00,565.48,0.00,0.00,727.05,126,,L
GSREARC,311-26HJX1,"PH 1A REQ. DEV- LOG BEHAV, REQ ANAL & DEVEL",PH1A,W,HJX,LGS26HJX4,HJX,0819H,201206,3.50,0.00,0.00,4.50,200.69,0.00,0.00,565.48,0.00,0.00,727.05,126,,L
GSREARC,311-26HJX1,"PH 1A REQ. DEV- LOG BEHAV, REQ ANAL & DEVEL",PH1A,W,HJX,LGS26HJX4,HJX,0819H,201207,3.26,0.00,0.00,4.50,186.93,0.00,0.00,526.71,0.00,0.00,727.05,126,,L
GSREARC,311-26HJX1,"PH 1A REQ. DEV- LOG BEHAV, REQ ANAL & DEVEL",PH1A,W,HJX,LGS26HJX4,HJX,0819H,201208,3.00,0.00,0.00,4.50,172.02,0.00,0.00,484.70,0.00,0.00,727.05,126,,L
GSREARC,311-26HJX1,"PH 1A REQ. DEV- LOG BEHAV, REQ ANAL & DEVEL",PH1A,W,HJX,LGS26HJX4,HJX,0819H,201209,3.00,0.00,0.00,4.50,172.02,0.00,0.00,484.70,0.00,0.00,727.05,126,,L
GSREARC,311-26HJX1,"PH 1A REQ. DEV- LOG BEHAV, REQ ANAL & DEVEL",PH1A,W,HJX,LGS26HJX4,HJX,0819H,201210,3.00,0.00,0.00,4.00,172.02,0.00,0.00,484.70,0.00,0.00,646.27,126,,L
GSREARC,311-26HJX1,"PH 1A REQ. DEV- LOG BEHAV, REQ ANAL & DEVEL",PH1A,W,HJX,LGS26HJX4,HJX,0819H,201211,3.00,0.00,0.00,4.00,172.02,0.00,0.00,484.70,0.00,0.00,646.27,126,,L
GSREARC,311-26HJX1,"PH 1A REQ. DEV- LOG BEHAV, REQ ANAL & DEVEL",PH1A,W,HJX,LGS26HJX4,HJX,0819H,201212,3.00,0.00,0.00,4.00,172.02,0.00,0.00,484.70,0.00,0.00,646.27,126,,L
GSREARC,311-26HJX1,"PH 1A REQ. DEV- LOG BEHAV, REQ ANAL & DEVEL",PH1A,W,HJX,LGS26HJX4,HJX,0819H,201301,3.00,0.00,0.00,4.00,178.65,0.00,0.00,515.48,0.00,0.00,687.30,126,,L
GSREARC,311-26HJX1,"PH 1A REQ. DEV- LOG BEHAV, REQ ANAL & DEVEL",PH1A,W,HJX,LGS26HJX4,HJX,0819H,201302,3.00,0.00,0.00,6.00,178.65,0.00,0.00,515.48,0.00,0.00,1022.12,126,,L
GSREARC,311-26HJX1,"PH 1A REQ. DEV- LOG BEHAV, REQ ANAL & DEVEL",PH1A,W,HJX,LGS26HJX4,HJX,0819H,201303,3.00,0.00,0.00,4.00,178.65,0.00,0.00,515.48,0.00,0.00,687.30,126,,L
GSREARC,311-26HJX1,"PH 1A REQ. DEV- LOG BEHAV, REQ ANAL & DEVEL",PH1A,W,HJX,LGS26HJX4,HJX,0819H,201304,3.00,0.00,0.00,4.00,178.65,0.00,0.00,515.48,0.00,0.00,687.30,126,,L
GSREARC,311-26HJX1,"PH 1A REQ. DEV- LOG BEHAV, REQ ANAL & DEVEL",PH1A,W,HJX,LGS26HJX4,HJX,0819H,201305,3.00,0.00,0.00,4.00,178.65,0.00,0.00,515.48,0.00,0.00,687.30,126,,L
GSREARC,311-26HJX1,"PH 1A REQ. DEV- LOG BEHAV, REQ ANAL & DEVEL",PH1A,W,HJX,LGS26HJX4,HJX,0819H,201306,3.00,0.00,0.00,4.00,178.65,0.00,0.00,515.48,0.00,0.00,687.30,126,,L
GSREARC,311-26HJX1,"PH 1A REQ. DEV- LOG BEHAV, REQ ANAL & DEVEL",PH1A,W,HJX,LGS26HJX4,HJX,0819H,201307,3.00,0.00,0.00,4.00,178.65,0.00,0.00,515.48,0.00,0.00,687.30,126,,L
GSREARC,311-26HJX1,"PH 1A REQ. DEV- LOG BEHAV, REQ ANAL & DEVEL",PH1A,W,HJX,LGS26HJX4,HJX,0819H,201308,3.00,0.00,0.00,4.00,178.65,0.00,0.00,515.48,0.00,0.00,687.30,126,,L
GSREARC,311-26HJX1,"PH 1A REQ. DEV- LOG BEHAV, REQ ANAL & DEVEL",PH1A,W,HJX,LGS26HJX4,HJX,0819H,201309,3.00,0.00,0.00,4.00,178.65,0.00,0.00,515.48,0.00,0.00,687.30,126,,L
GSREARC,311-26HJX1,"PH 1A REQ. DEV- LOG BEHAV, REQ ANAL & DEVEL",PH1A,W,HJX,LGS26HJX4,HJX,0819H,201310,1.30,0.00,0.00,1.30,77.42,0.00,0.00,223.37,0.00,0.00,223.37,126,,L
GSREARC,31400A-819H,PH 1A SYS DEVELOPMENT- IMMC SW,PH1A,W,HJX,LGS31400A,HJX,0819H,201101,112.22,0.00,112.22,0.00,5961.08,5961.08,0.00,15790.67,15790.67,0.00,0.00,126,,L
GSREARC,31400A-819H,PH 1A SYS DEVELOPMENT- IMMC SW,PH1A,W,HJX,LGS31400A,HJX,0819H,201102,89.78,0.00,89.78,0.00,4768.86,4768.86,0.00,12632.54,12632.54,0.00,0.00,126,,L
GSREARC,31400A-819H,PH 1A SYS DEVELOPMENT- IMMC SW,PH1A,W,HJX,LGS31400A,HJX,0819H,201103,89.78,0.00,89.78,0.00,4768.86,4768.86,0.00,12632.54,12632.54,0.00,0.00,126,,L
GSREARC,31400A-819H,PH 1A SYS DEVELOPMENT- IMMC SW,PH1A,W,HJX,LGS31400A,HJX,0819H,201104,112.22,9.50,112.22,132.22,5961.08,5961.08,607.20,15790.67,15790.67,1604.58,19168.32,126,,L
GSREARC,31400A-819H,PH 1A SYS DEVELOPMENT- IMMC SW,PH1A,W,HJX,LGS31400A,HJX,0819H,201105,85.29,7.00,85.29,7.00,4530.42,4530.42,427.50,12000.91,12000.91,1129.71,1014.81,126,,L
GSREARC,31400A-819H,PH 1A SYS DEVELOPMENT- IMMC SW,PH1A,W,HJX,LGS31400A,HJX,0819H,201106,85.29,0.00,85.29,0.00,4530.42,4530.42,0.00,12000.91,12000.91,0.00,0.00,126,,L
GSREARC,31400A-819H,PH 1A SYS DEVELOPMENT- IMMC SW,PH1A,W,HJX,LGS31400A,HJX,0819H,201107,0.00,0.00,0.00,-0.01,0.02,0.02,0.00,0.05,0.05,0.00,-0.71,126,,L
